用户id	用户注册时间	最后登录时间	免费筹码	身上货币量	最高拥有	最大赢取	贡献台费	登录总次数	站内好友数	经验值	等级	积分	性别	互动道具	玩过的最大小盲	破产线	IP地址	玩牌局数	赢牌局数	输牌局数	正常牌局	非正常牌局	最高牌类型
7795668	2014/10/8	2014/10/8	0	980	null	null	0	2	0	8	2	0	1	0	10	40	183.220.220.13	2	null	0	2	0	0
7795664	2014/10/8	2014/10/8	0	0	null	null	0	1	6	0	0	0	1	0	0	20	42.184.143.162	null	null	0	0	0	0
7795660	2014/10/8	2014/10/8	0	0	null	null	0	1	0	0	0	0	0	0	0	20	27.214.61.48	null	null	0	0	0	0
7795657	2014/10/8	2014/10/8	359	1020	1700	720	0	2	0	262	4	0	0	0	10	40	61.146.175.63	39	15	2	40	0	4
7795658	2014/10/8	2014/10/8	0	980	null	null	0	2	0	5	2	0	1	0	10	40	112.86.37.180	1	null	0	1	0	0
7795656	2014/10/8	2014/10/8	0	960	null	null	0	2	0	8	2	0	1	0	10	40	119.4.4.63	2	null	0	2	0	0
7795654	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	153.34.33.114	null	null	0	0	0	0
7795652	2014/10/8	2014/10/8	3510	840	null	240	0	2	0	74	3	0	0	0	10	40	183.202.51.53	8	1	0	9	0	0
7795650	2014/10/8	2014/10/8	0	1000	null	null	0	2	4	8	2	0	1	0	10	40	1.188.50.222	1	null	0	2	0	0
7795648	2014/10/8	2014/10/8	0	800	null	null	0	2	5	0	0	0	1	0	0	20	222.161.76.68	null	null	0	0	0	0
7795643	2014/10/8	2014/10/8	0	1160	null	null	0	2	0	13	2	0	0	0	10	40	183.190.47.126	1	null	0	2	0	0
7795641	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	120.10.218.144	null	null	0	0	0	0
7795640	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	112.192.160.29	null	null	0	0	0	0
7795637	2014/10/8	2014/10/8	0	980	null	null	0	2	0	8	2	0	1	0	10	40	113.26.37.252	2	null	0	2	0	0
7795636	2014/10/8	2014/10/9	18115	11300	3140	780	0	3	5	263	4	5	1	10	10	40	117.151.156.87	38	9	17	39	0	7
7795635	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	111.37.41.158	null	null	0	0	0	0
7795633	2014/10/8	2014/10/8	9323	1370	null	600	0	2	3	129	4	0	1	0	10	40	115.235.44.159	14	5	0	14	0	0
7795632	2014/10/8	2014/10/8	0	780	null	null	0	2	0	3	1	0	1	0	0	20	140.240.90.1	2	null	0	2	0	0
7795630	2014/10/8	2014/10/8	2970	195	1290	495	0	2	5	85	3	0	1	0	10	40	106.39.255.118	13	2	4	13	0	4
7795629	2014/10/8	2014/10/8	0	800	null	null	0	2	3	0	0	0	0	0	0	20	113.13.120.173	null	null	0	0	0	0
7795628	2014/10/8	2014/10/8	0	1030	null	null	0	2	0	8	2	0	1	0	10	40	223.246.79.197	2	null	0	2	0	0
7795627	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	113.87.33.99	null	null	0	0	0	0
7795623	2014/10/8	2014/10/8	0	980	null	null	0	2	0	8	2	0	1	0	10	40	101.254.27.122	2	null	0	2	0	0
7795622	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	120.43.10.185	null	null	0	0	0	0
7795621	2014/10/8	2014/10/8	0	0	null	null	0	1	2	0	0	0	1	0	0	20	42.235.22.210	null	null	0	0	0	0
7795620	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	101.31.193.13	null	null	0	0	0	0
7795619	2014/10/8	2014/10/8	0	800	null	null	0	2	3	0	0	0	1	0	0	20	221.234.81.30	null	null	0	0	0	0
7795617	2014/10/8	2014/10/8	2407	770	null	260	0	2	1	49	3	0	1	0	10	40	180.139.207.19	6	2	0	6	0	0
7795616	2014/10/8	2014/10/8	0	790	null	null	0	2	1	3	1	0	1	0	0	20	123.139.188.208	1	null	0	2	0	0
7795614	2014/10/8	2014/10/8	0	800	null	null	0	2	1	10	2	0	1	0	0	20	117.36.164.164	null	null	0	0	0	0
7795613	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	101.254.27.26	null	null	0	0	0	0
7795612	2014/10/8	2014/10/8	0	770	null	null	0	2	0	3	1	0	1	0	0	20	27.195.87.158	2	null	0	2	0	0
7795611	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	59.35.146.124	null	null	0	0	0	0
7795610	2014/10/8	2014/10/9	0	1000	1000	null	0	3	1	21	2	5	1	0	10	40	111.199.210.139	2	null	1	4	0	0
7795609	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	120.8.240.108	null	null	0	0	0	0
7795608	2014/10/8	2014/10/8	0	960	null	null	0	2	0	5	2	0	0	0	10	40	218.15.190.250	1	null	0	1	0	0
7795607	2014/10/8	2014/10/8	0	990	null	null	0	2	6	21	2	0	1	0	10	40	117.91.7.208	2	null	0	4	0	0
7795606	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	113.233.51.106	null	null	0	0	0	0
7795604	2014/10/8	2014/10/8	0	800	null	null	0	2	1	10	2	0	1	0	0	20	101.71.238.6	null	null	0	0	0	0
7795603	2014/10/8	2014/10/8	0	800	null	null	0	2	0	3	1	0	1	0	0	20	125.75.144.165	1	null	0	1	0	0
7795600	2014/10/8	2014/10/8	0	800	null	null	0	2	2	13	2	0	1	0	0	20	120.210.180.117	1	null	0	2	0	0
7795598	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	117.34.96.141	null	null	0	0	0	0
7795597	2014/10/8	2014/10/8	0	1180	null	null	0	2	2	16	2	0	1	0	10	40	118.81.44.204	2	null	0	3	0	0
7795596	2014/10/8	2014/10/8	0	790	null	null	0	2	2	13	2	0	0	0	0	20	219.148.187.117	1	null	0	2	0	0
7795594	2014/10/8	2014/10/8	0	980	null	null	0	2	1	5	2	0	1	0	10	40	111.85.125.127	1	null	0	1	0	0
7795592	2014/10/8	2014/10/9	0	0	10525	3380	0	3	8	752	6	5	0	10	50000	1000	49.83.172.230	117	34	38	119	0	8
7795590	2014/10/8	2014/10/8	0	0	null	null	0	1	2	0	0	0	1	0	0	20	183.189.68.92	null	null	0	0	0	0
7795588	2014/10/8	2014/10/8	191456	2891	3240	650	0	2	0	254	4	0	0	0	10	40	119.0.11.205	37	12	18	36	1	7
7795587	2014/10/8	2014/10/8	0	990	null	null	0	2	0	8	2	0	1	0	10	40	123.151.185.118	2	null	0	2	0	0
7795585	2014/10/8	2014/10/8	0	0	null	null	0	1	9	0	0	0	1	0	0	20	117.162.40.237	null	null	0	0	0	0
7795584	2014/10/8	2014/10/8	0	1110	null	null	0	2	5	26	2	0	1	0	10	40	36.62.128.49	3	null	0	3	0	0
7795583	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	0	20	218.25.38.198	null	null	0	0	0	0
7795581	2014/10/8	2014/10/8	0	0	null	null	0	1	0	0	0	0	0	0	0	20	171.111.152.86	null	null	0	0	0	0
7795578	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	124.152.121.242	null	null	0	0	0	0
7795577	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	117.39.7.59	null	null	0	0	0	0
7795576	2014/10/8	2014/10/8	0	950	null	null	0	2	2	21	2	0	1	0	10	40	60.20.136.234	3	null	0	3	0	0
7795575	2014/10/8	2014/10/8	14608	2500	3450	800	0	2	2	242	4	0	0	0	10	40	117.159.99.224	36	14	17	37	0	8
7795574	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	10	40	106.86.213.29	null	null	0	0	0	0
7795573	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	0	20	116.3.37.187	null	null	0	0	0	0
7795571	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	223.198.165.207	null	null	0	0	0	0
7795568	2014/10/8	2014/10/8	0	1020	null	null	0	2	0	8	2	0	1	0	10	40	60.220.156.207	2	null	0	2	0	0
7795566	2014/10/8	2014/10/10	0	800	800	null	0	3	1	3	1	5	1	0	0	20	118.88.119.178	1	null	1	1	0	0
7795564	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	0	20	112.192.71.127	null	null	0	0	0	0
7795563	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	220.166.32.214	null	null	0	0	0	0
7795561	2014/10/8	2014/10/8	0	970	null	null	0	2	0	8	2	0	1	0	10	40	112.252.73.101	2	null	0	2	0	0
7795560	2014/10/8	2014/10/10	948918451	1713163	1799990	553500	93920	4	0	654	6	20	0	10	50000	1000	61.175.222.114	105	22	59	76	1	7
7795557	2014/10/8	2014/10/8	0	0	null	null	0	1	0	0	0	0	1	0	0	20	59.50.208.91	null	null	0	0	0	0
7795554	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	116.30.211.195	null	null	0	0	0	0
7795552	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	0	20	116.52.226.13	null	null	0	0	0	0
7795550	2014/10/8	2014/10/8	0	800	null	null	0	2	4	10	2	0	1	0	10	40	36.47.41.246	null	null	0	0	0	0
7795549	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	10	40	219.152.101.164	null	null	0	0	0	0
7795548	2014/10/8	2014/10/8	0	980	null	null	0	2	0	25	2	0	0	0	10	40	119.185.85.79	5	null	0	6	0	0
7795546	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	0	20	175.166.179.60	null	null	0	0	0	0
7795545	2014/10/8	2014/10/8	0	1000	5180	1570	0	2	0	415	5	0	0	0	10	40	124.231.14.185	60	21	18	61	0	8
7795544	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	118.248.26.17	null	null	0	0	0	0
7795543	2014/10/8	2014/10/8	0	800	null	null	0	2	1	13	2	0	1	0	0	20	221.7.253.100	1	null	0	1	0	0
7795541	2014/10/8	2014/10/8	0	790	null	null	0	2	0	3	1	0	1	0	0	20	121.12.13.188	1	null	0	1	0	0
7795540	2014/10/8	2014/10/8	0	990	null	null	0	2	1	18	2	0	1	0	10	40	175.175.126.32	1	null	0	2	0	0
7795537	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	59.51.60.110	null	null	0	0	0	0
7795535	2014/10/8	2014/10/8	0	0	null	null	0	1	0	0	0	0	1	0	0	20	218.87.111.172	null	null	0	0	0	0
7795534	2014/10/8	2014/10/8	582	30	null	600	0	2	1	105	3	0	0	0	10	40	113.99.6.177	9	2	0	9	0	0
7795530	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	171.89.196.23	null	null	0	0	0	0
7795529	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	27.29.190.202	null	null	0	0	0	0
7795526	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	0	20	218.17.69.190	null	null	0	0	0	0
7795525	2014/10/8	2014/10/8	0	790	null	null	0	2	0	3	1	0	0	0	0	20	119.166.162.49	1	null	0	2	0	0
7795524	2014/10/8	2014/10/8	0	0	null	null	0	1	2	0	0	0	1	0	0	20	49.117.6.162	null	null	0	0	0	0
7795523	2014/10/8	2014/10/8	0	800	null	null	0	2	7	0	0	0	0	0	0	20	1.85.221.8	null	null	0	0	0	0
7795520	2014/10/8	2014/10/8	57385	4880	null	600	0	2	4	351	5	0	0	0	10	40	36.1.164.0	30	7	0	33	0	0
7795519	2014/10/8	2014/10/8	0	800	null	null	0	2	4	0	0	0	1	0	0	20	183.209.237.241	null	null	0	0	0	0
7795518	2014/10/8	2014/10/9	356301	9080	8572	3780	0	3	1	274	5	5	0	0	10	40	118.116.42.52	39	16	14	39	0	7
7795517	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	116.27.229.111	null	null	0	0	0	0
7795515	2014/10/8	2014/10/8	0	990	null	null	0	2	2	8	2	0	1	0	10	40	218.68.247.183	1	null	0	2	0	0
7795514	2014/10/8	2014/10/8	9175	2670	null	630	0	2	1	141	4	0	0	0	10	40	36.41.132.108	16	9	0	17	0	0
7795510	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	113.24.97.77	null	null	0	0	0	0
7795508	2014/10/8	2014/10/8	0	800	null	null	0	2	1	10	2	0	1	0	10	40	14.220.203.18	null	null	0	0	0	0
7795507	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	58.42.80.15	null	null	0	0	0	0
7795505	2014/10/8	2014/10/9	0	1030	null	null	0	3	0	8	2	5	1	0	10	40	202.101.72.95	2	null	0	2	0	0
7795504	2014/10/8	2014/10/8	0	1290	null	20	0	2	2	55	3	0	1	0	10	40	183.182.126.32	8	2	0	18	0	0
7795503	2014/10/8	2014/10/8	0	1020	null	null	0	2	0	16	2	0	1	0	10	40	117.140.80.105	4	null	0	8	0	0
7795502	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	123.181.237.227	null	null	0	0	0	0
7795500	2014/10/8	2014/10/8	0	1140	null	null	0	2	1	19	2	0	1	0	10	40	183.216.233.60	4	null	0	8	0	0
7795498	2014/10/8	2014/10/8	0	980	null	null	0	2	2	18	2	0	0	0	10	40	61.178.196.236	2	null	0	4	0	0
7795494	2014/10/8	2014/10/8	0	1220	null	40	0	2	0	78	3	0	1	0	10	40	222.182.153.77	11	3	0	22	0	0
7795493	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	61.191.113.14	null	null	0	0	0	0
7795490	2014/10/8	2014/10/8	0	930	null	null	0	2	1	52	3	0	1	0	10	40	120.84.235.116	10	null	0	20	0	0
7795488	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	0	20	183.193.89.67	null	null	0	0	0	0
7795486	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	125.46.32.97	null	null	0	0	0	0
7795485	2014/10/8	2014/10/8	0	770	null	null	0	2	1	3	1	0	0	0	0	20	111.17.162.35	2	null	0	4	0	0
7795484	2014/10/8	2014/10/8	0	1300	null	20	0	2	0	40	2	0	0	0	10	40	101.16.203.3	6	1	0	14	0	0
7795482	2014/10/8	2014/10/8	0	40	null	null	0	2	2	35	2	0	0	0	10	40	221.11.109.129	5	null	0	10	0	0
7795479	2014/10/8	2014/10/9	0	980	null	null	0	3	0	5	2	5	1	0	10	40	118.251.232.246	1	null	0	1	0	0
7795478	2014/10/8	2014/10/8	0	800	null	null	0	2	2	10	2	0	1	0	10	40	183.224.127.108	null	null	0	0	0	0
7795477	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	0	0	0	20	101.16.29.34	null	null	0	0	0	0
7795476	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	0	20	183.189.116.200	null	null	0	0	0	0
7795475	2014/10/8	2014/10/8	0	200	null	null	0	2	1	0	0	0	0	0	0	20	121.35.65.218	null	null	0	0	0	0
7795474	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	106.46.104.81	null	null	0	0	0	0
7795473	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	61.156.217.30	null	null	0	0	0	0
7795472	2014/10/8	2014/10/8	19049	1410	null	620	0	2	1	69	3	0	0	0	10	40	14.218.235.185	7	2	0	14	0	0
7795471	2014/10/8	2014/10/8	0	380	null	null	0	2	1	20	2	0	0	0	10	40	112.0.91.168	6	null	0	12	0	0
7795470	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	0	0	0	20	124.95.96.214	null	null	0	0	0	0
7795469	2014/10/8	2014/10/8	0	1200	null	null	0	2	1	26	2	0	0	0	10	40	124.229.254.238	3	null	0	8	0	0
7795466	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	0	0	0	20	180.115.170.188	null	null	0	0	0	0
7795462	2014/10/8	2014/10/8	0	790	null	null	0	2	0	3	1	0	0	0	0	20	123.138.114.136	1	null	0	2	0	0
7795461	2014/10/8	2014/10/8	0	770	null	null	0	2	0	3	1	0	0	0	0	20	111.170.203.75	2	null	0	4	0	0
7795459	2014/10/8	2014/10/8	0	980	null	null	0	2	0	5	2	0	0	0	10	40	221.215.147.78	1	null	0	2	0	0
7795457	2014/10/8	2014/10/8	0	980	null	null	0	2	18	18	2	0	1	0	10	40	171.92.134.22	2	null	0	4	0	0
7795456	2014/10/8	2014/10/10	0	0	23973	5130	160	4	4	476	6	10	0	10	100	1000	211.162.34.14	47	12	33	33	13	8
7795455	2014/10/8	2014/10/8	0	1000	null	null	0	2	0	8	2	0	1	0	10	40	118.250.67.87	1	null	0	4	0	0
7795454	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	0	20	222.161.249.79	null	null	0	0	0	0
7795453	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	223.88.231.121	null	null	0	0	0	0
7795450	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	0	20	60.19.134.114	null	null	0	0	0	0
7795447	2014/10/8	2014/10/8	81242	2991	null	500	0	2	0	205	4	0	0	0	10	40	58.247.123.26	31	7	0	62	0	0
7795443	2014/10/8	2014/10/8	31438	2340	null	440	0	2	1	48	3	0	1	0	10	40	123.187.231.24	2	1	0	6	0	0
7795441	2014/10/8	2014/10/8	339689	650	null	366240	44575	2	0	169	4	0	0	0	10000	1000	118.122.39.234	20	14	0	40	0	0
7795440	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	140.75.226.234	null	null	0	0	0	0
7795439	2014/10/8	2014/10/8	0	1620	null	null	0	2	0	16	2	0	0	0	10	40	49.115.159.71	3	null	0	6	0	0
7795437	2014/10/8	2014/10/8	0	1020	1000	null	0	2	0	11	2	0	0	0	10	40	171.43.206.158	3	null	2	10	0	0
7795435	2014/10/8	2014/10/8	0	200	null	null	0	2	1	0	0	0	0	0	0	20	121.35.65.218	null	null	0	0	0	0
7795433	2014/10/8	2014/10/9	0	800	null	null	0	3	3	0	0	5	0	0	0	20	117.85.194.211	null	null	0	0	0	0
